NOM,Adresse,Disponibilité,Contact,Nbr de nuit (à partir),Nbr de personnes,Affectation,Lien,Prix /nuit /personne,Prix effectif TOTAL
L’antre ami,6A Rue Paul Maldant,,06 62 41 80 51,1,2,,https://www.lantreami.fr,129,
Maison du Crémant,1 rue Couturie,,06 03 67 12 96 - lamaisonducremant@free.fr,1,10,,https://www.lamaisonducremant.com,,
Lud’Hôtel,31 rue de Cîteaux,,03 80 21 53 24,1,60,,,,
Hôtel l’Ouvrée,54 route de Bourgogne,,03 80 21 51 52 - contact@louvree.fr,1,36,,,,
Maison Merlin,5 rue Vauchey Véry,,06 80 28 45 15 / 06 30 19 57 50,2,16,,,,
Le Cassien,14 rue Boulanger et Vallée,,06 80 15 88 75 - contact@lecassien.fr,2,4,,https://www.lecassien.fr,,
Le Duplex,14 rue Guy de Vaulchier,,contact@conciergeriebeaunoise.com,2,2,,,,
La Cuverie de Cîteaux,5 rue Paul Maldant,,06 09 31 31 41 - cuverie@cuveriedeciteaux.com,2,8,,https://www.cuveriedeciteaux.com,,
Maison d’hôtes Chandon de Briailles,1 Rue Soeur Goby,,03 80 21 50 97,2,5,,https://chandon-de-briailles.inn.fan,,
Gîte « la petite France »,8 rue de Bourgogne,,06 70 43 63 98,2,2,,,,
Manoir de Villamont,3 rue du Dr Guyot,,03 80 21 52 13 - manoir@hdv.fr,2,18,,,,
La Maison Imbault,5 rue Imbault,,06 28 30 03 38,2,5,,,,
Couette&living,12 Rue Imbault,,06 22 34 58 32,2,6,,https://couetteandliving.lodgify.com,,
Maison « au bout du ciel »,10 Rue du Ciel,,06 19 68 37 56 - auboutduciel@hotmail.com,2,4,,,,
